threshold,tp,fp,tn,fn,tpr,fpr,asr
-3.6627907320591877,3,0,500,497,0.006,0.0,0.503
-3.6596984399146715,3,0,500,497,0.006,0.0,0.503
-3.6566061477701552,3,0,500,497,0.006,0.0,0.503
-3.653513855625639,3,0,500,497,0.006,0.0,0.503
-3.650421563481123,3,0,500,497,0.006,0.0,0.503
-3.6473292713366066,3,0,500,497,0.006,0.0,0.503
-3.6442369791920903,3,0,500,497,0.006,0.0,0.503
-3.641144687047574,3,0,500,497,0.006,0.0,0.503
-3.638052394903058,3,0,500,497,0.006,0.0,0.503
-3.6349601027585416,3,0,500,497,0.006,0.0,0.503
-3.6318678106140254,3,0,500,497,0.006,0.0,0.503
-3.628775518469509,3,0,500,497,0.006,0.0,0.503
-3.625683226324993,3,0,500,497,0.006,0.0,0.503
-3.6225909341804767,3,0,500,497,0.006,0.0,0.503
-3.6194986420359605,3,0,500,497,0.006,0.0,0.503
-3.6164063498914443,3,0,500,497,0.006,0.0,0.503
-3.613314057746928,3,0,500,497,0.006,0.0,0.503
-3.610221765602412,3,0,500,497,0.006,0.0,0.503
-3.6071294734578956,3,0,500,497,0.006,0.0,0.503
-3.6040371813133794,3,0,500,497,0.006,0.0,0.503
-3.600944889168863,3,0,500,497,0.006,0.0,0.503
-3.597852597024347,3,0,500,497,0.006,0.0,0.503
-3.5947603048798307,3,0,500,497,0.006,0.0,0.503
-3.5916680127353144,3,0,500,497,0.006,0.0,0.503
-3.588575720590798,3,0,500,497,0.006,0.0,0.503
-3.585483428446282,3,0,500,497,0.006,0.0,0.503
-3.5823911363017658,3,0,500,497,0.006,0.0,0.503
-3.5792988441572495,3,0,500,497,0.006,0.0,0.503
-3.5762065520127333,3,0,500,497,0.006,0.0,0.503
-3.573114259868217,3,0,500,497,0.006,0.0,0.503
-3.570021967723701,3,0,500,497,0.006,0.0,0.503
-3.5669296755791846,3,0,500,497,0.006,0.0,0.503
-3.5638373834346684,3,0,500,497,0.006,0.0,0.503
-3.560745091290152,4,0,500,496,0.008,0.0,0.504
-3.557652799145636,4,0,500,496,0.008,0.0,0.504
-3.5545605070011197,4,0,500,496,0.008,0.0,0.504
-3.5514682148566035,4,0,500,496,0.008,0.0,0.504
-3.5483759227120872,4,0,500,496,0.008,0.0,0.504
-3.545283630567571,4,0,500,496,0.008,0.0,0.504
-3.542191338423055,4,0,500,496,0.008,0.0,0.504
-3.5390990462785386,4,0,500,496,0.008,0.0,0.504
-3.5360067541340223,4,0,500,496,0.008,0.0,0.504
-3.532914461989506,4,0,500,496,0.008,0.0,0.504
-3.52982216984499,4,0,500,496,0.008,0.0,0.504
-3.5267298777004736,4,0,500,496,0.008,0.0,0.504
-3.5236375855559574,4,0,500,496,0.008,0.0,0.504
-3.520545293411441,4,0,500,496,0.008,0.0,0.504
-3.517453001266925,4,0,500,496,0.008,0.0,0.504
-3.5143607091224087,4,0,500,496,0.008,0.0,0.504
-3.5112684169778925,4,0,500,496,0.008,0.0,0.504
-3.5081761248333763,4,0,500,496,0.008,0.0,0.504
-3.50508383268886,4,0,500,496,0.008,0.0,0.504
-3.501991540544344,4,0,500,496,0.008,0.0,0.504
-3.4988992483998276,4,0,500,496,0.008,0.0,0.504
-3.4958069562553113,4,0,500,496,0.008,0.0,0.504
-3.492714664110795,4,0,500,496,0.008,0.0,0.504
-3.489622371966279,4,0,500,496,0.008,0.0,0.504
-3.4865300798217627,4,0,500,496,0.008,0.0,0.504
-3.4834377876772464,4,0,500,496,0.008,0.0,0.504
-3.48034549553273,4,0,500,496,0.008,0.0,0.504
-3.477253203388214,4,0,500,496,0.008,0.0,0.504
-3.4741609112436977,4,0,500,496,0.008,0.0,0.504
-3.4710686190991815,4,0,500,496,0.008,0.0,0.504
-3.4679763269546653,4,0,500,496,0.008,0.0,0.504
-3.464884034810149,4,0,500,496,0.008,0.0,0.504
-3.461791742665633,4,0,500,496,0.008,0.0,0.504
-3.4586994505211166,4,0,500,496,0.008,0.0,0.504
-3.4556071583766004,4,0,500,496,0.008,0.0,0.504
-3.452514866232084,4,0,500,496,0.008,0.0,0.504
-3.449422574087568,4,0,500,496,0.008,0.0,0.504
-3.4463302819430517,4,0,500,496,0.008,0.0,0.504
-3.4432379897985355,4,0,500,496,0.008,0.0,0.504
-3.4401456976540192,4,0,500,496,0.008,0.0,0.504
-3.437053405509503,4,0,500,496,0.008,0.0,0.504
-3.4339611133649868,4,0,500,496,0.008,0.0,0.504
-3.4308688212204705,4,0,500,496,0.008,0.0,0.504
-3.4277765290759543,4,0,500,496,0.008,0.0,0.504
-3.424684236931438,4,0,500,496,0.008,0.0,0.504
-3.421591944786922,4,0,500,496,0.008,0.0,0.504
-3.4184996526424056,4,0,500,496,0.008,0.0,0.504
-3.4154073604978894,4,0,500,496,0.008,0.0,0.504
-3.412315068353373,4,0,500,496,0.008,0.0,0.504
-3.409222776208857,4,0,500,496,0.008,0.0,0.504
-3.4061304840643407,4,0,500,496,0.008,0.0,0.504
-3.4030381919198245,4,0,500,496,0.008,0.0,0.504
-3.3999458997753083,4,0,500,496,0.008,0.0,0.504
-3.396853607630792,4,0,500,496,0.008,0.0,0.504
-3.393761315486276,4,0,500,496,0.008,0.0,0.504
-3.3906690233417596,4,0,500,496,0.008,0.0,0.504
-3.3875767311972433,4,0,500,496,0.008,0.0,0.504
-3.384484439052727,5,0,500,495,0.01,0.0,0.505
-3.381392146908211,5,0,500,495,0.01,0.0,0.505
-3.3782998547636947,5,0,500,495,0.01,0.0,0.505
-3.3752075626191784,5,0,500,495,0.01,0.0,0.505
-3.372115270474662,5,0,500,495,0.01,0.0,0.505
-3.369022978330146,5,0,500,495,0.01,0.0,0.505
-3.3659306861856297,5,0,500,495,0.01,0.0,0.505
-3.3628383940411135,5,0,500,495,0.01,0.0,0.505
-3.3597461018965973,5,0,500,495,0.01,0.0,0.505
-3.356653809752081,5,0,500,495,0.01,0.0,0.505
-3.353561517607565,5,0,500,495,0.01,0.0,0.505
-3.3504692254630486,5,0,500,495,0.01,0.0,0.505
-3.3473769333185324,5,0,500,495,0.01,0.0,0.505
-3.344284641174016,5,0,500,495,0.01,0.0,0.505
-3.3411923490295,5,0,500,495,0.01,0.0,0.505
-3.3381000568849837,5,0,500,495,0.01,0.0,0.505
-3.3350077647404675,5,0,500,495,0.01,0.0,0.505
-3.331915472595951,5,0,500,495,0.01,0.0,0.505
-3.328823180451435,5,0,500,495,0.01,0.0,0.505
-3.3257308883069188,5,0,500,495,0.01,0.0,0.505
-3.3226385961624025,5,0,500,495,0.01,0.0,0.505
-3.3195463040178863,5,0,500,495,0.01,0.0,0.505
-3.31645401187337,5,0,500,495,0.01,0.0,0.505
-3.313361719728854,5,0,500,495,0.01,0.0,0.505
-3.3102694275843376,5,0,500,495,0.01,0.0,0.505
-3.3071771354398214,5,0,500,495,0.01,0.0,0.505
-3.304084843295305,5,0,500,495,0.01,0.0,0.505
-3.300992551150789,5,0,500,495,0.01,0.0,0.505
-3.2979002590062727,5,0,500,495,0.01,0.0,0.505
-3.2948079668617565,5,0,500,495,0.01,0.0,0.505
-3.2917156747172402,5,0,500,495,0.01,0.0,0.505
-3.288623382572724,5,0,500,495,0.01,0.0,0.505
-3.285531090428208,5,0,500,495,0.01,0.0,0.505
-3.2824387982836916,5,0,500,495,0.01,0.0,0.505
-3.2793465061391753,5,0,500,495,0.01,0.0,0.505
-3.276254213994659,5,0,500,495,0.01,0.0,0.505
-3.273161921850143,5,0,500,495,0.01,0.0,0.505
-3.2700696297056266,5,0,500,495,0.01,0.0,0.505
-3.2669773375611104,5,0,500,495,0.01,0.0,0.505
-3.263885045416594,5,0,500,495,0.01,0.0,0.505
-3.260792753272078,5,0,500,495,0.01,0.0,0.505
-3.2577004611275617,5,0,500,495,0.01,0.0,0.505
-3.2546081689830455,5,0,500,495,0.01,0.0,0.505
-3.2515158768385293,5,0,500,495,0.01,0.0,0.505
-3.248423584694013,5,0,500,495,0.01,0.0,0.505
-3.245331292549497,5,0,500,495,0.01,0.0,0.505
-3.2422390004049806,5,0,500,495,0.01,0.0,0.505
-3.2391467082604644,5,0,500,495,0.01,0.0,0.505
-3.236054416115948,5,0,500,495,0.01,0.0,0.505
-3.232962123971432,5,0,500,495,0.01,0.0,0.505
-3.2298698318269157,5,0,500,495,0.01,0.0,0.505
-3.2267775396823994,5,0,500,495,0.01,0.0,0.505
-3.223685247537883,5,0,500,495,0.01,0.0,0.505
-3.220592955393367,5,0,500,495,0.01,0.0,0.505
-3.2175006632488508,5,0,500,495,0.01,0.0,0.505
-3.2144083711043345,5,0,500,495,0.01,0.0,0.505
-3.2113160789598183,5,0,500,495,0.01,0.0,0.505
-3.208223786815302,5,0,500,495,0.01,0.0,0.505
-3.205131494670786,5,0,500,495,0.01,0.0,0.505
-3.2020392025262696,5,0,500,495,0.01,0.0,0.505
-3.1989469103817534,5,0,500,495,0.01,0.0,0.505
-3.195854618237237,5,0,500,495,0.01,0.0,0.505
-3.192762326092721,5,0,500,495,0.01,0.0,0.505
-3.1896700339482047,5,0,500,495,0.01,0.0,0.505
-3.1865777418036885,5,0,500,495,0.01,0.0,0.505
-3.1834854496591722,5,0,500,495,0.01,0.0,0.505
-3.180393157514656,5,0,500,495,0.01,0.0,0.505
-3.17730086537014,5,0,500,495,0.01,0.0,0.505
-3.1742085732256236,5,0,500,495,0.01,0.0,0.505
-3.1711162810811073,5,0,500,495,0.01,0.0,0.505
-3.168023988936591,5,0,500,495,0.01,0.0,0.505
-3.164931696792075,5,0,500,495,0.01,0.0,0.505
-3.1618394046475586,5,0,500,495,0.01,0.0,0.505
-3.1587471125030424,5,0,500,495,0.01,0.0,0.505
-3.155654820358526,5,0,500,495,0.01,0.0,0.505
-3.15256252821401,5,0,500,495,0.01,0.0,0.505
-3.1494702360694937,5,0,500,495,0.01,0.0,0.505
-3.1463779439249775,5,0,500,495,0.01,0.0,0.505
-3.1432856517804613,5,0,500,495,0.01,0.0,0.505
-3.140193359635945,5,0,500,495,0.01,0.0,0.505
-3.137101067491429,5,0,500,495,0.01,0.0,0.505
-3.1340087753469126,5,0,500,495,0.01,0.0,0.505
-3.1309164832023963,5,0,500,495,0.01,0.0,0.505
-3.12782419105788,5,0,500,495,0.01,0.0,0.505
-3.124731898913364,5,0,500,495,0.01,0.0,0.505
-3.1216396067688477,5,0,500,495,0.01,0.0,0.505
-3.1185473146243314,5,0,500,495,0.01,0.0,0.505
-3.115455022479815,5,0,500,495,0.01,0.0,0.505
-3.112362730335299,5,0,500,495,0.01,0.0,0.505
-3.1092704381907827,5,0,500,495,0.01,0.0,0.505
-3.1061781460462665,5,0,500,495,0.01,0.0,0.505
-3.1030858539017503,5,0,500,495,0.01,0.0,0.505
-3.099993561757234,5,0,500,495,0.01,0.0,0.505
-3.096901269612718,5,0,500,495,0.01,0.0,0.505
-3.0938089774682016,5,0,500,495,0.01,0.0,0.505
-3.0907166853236854,5,0,500,495,0.01,0.0,0.505
-3.087624393179169,5,0,500,495,0.01,0.0,0.505
-3.084532101034653,5,0,500,495,0.01,0.0,0.505
-3.0814398088901367,6,0,500,494,0.012,0.0,0.506
-3.0783475167456205,6,0,500,494,0.012,0.0,0.506
-3.0752552246011042,6,0,500,494,0.012,0.0,0.506
-3.072162932456588,6,0,500,494,0.012,0.0,0.506
-3.0690706403120718,6,0,500,494,0.012,0.0,0.506
-3.0659783481675555,7,0,500,493,0.014,0.0,0.507
-3.0628860560230393,7,0,500,493,0.014,0.0,0.507
-3.059793763878523,7,0,500,493,0.014,0.0,0.507
